"DOI","publisher","type","created","created_year"
"10.7287/peerj.preprints.767v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.1021v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.717v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.2333v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2130v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.924v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.722v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.2068v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2068v2","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1880v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2023v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2048v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1019v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.1019v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.2111v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1874v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1874v2","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1970v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1579v2","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1579v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.1979v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2370v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.788v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.2025v1","PeerJ","posted-content",2018-01-13,2018
"10.31226/osf.io/qrys5","Center for Open Science","posted-content",2018-07-07,2018
"10.7287/peerj.preprints.1010v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.747v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.1906v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2325v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.770v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.776v2","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.776v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2089v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2077v2","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2077v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.702v1","PeerJ","posted-content",2018-01-12,2018
